

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
056.039  000.090  000.090: require('luasnip.util.log')
056.155  000.104  000.104: require('luasnip.nodes.functionNode')
056.381  000.224  000.224: require('luasnip.nodes.choiceNode')
056.554  000.171  000.171: require('luasnip.nodes.dynamicNode')
056.695  000.138  000.138: require('luasnip.nodes.restoreNode')
057.048  000.082  000.082: require('luasnip.util.parser.neovim_ast')
057.424  000.119  000.119: require('luasnip.util.directed_graph')
057.439  000.664  000.463: require('luasnip.util.parser.ast_utils')
057.734  000.057  000.057: require('luasnip.util.functions')
057.747  000.306  000.249: require('luasnip.util.parser.ast_parser')
058.200  000.452  000.452: require('luasnip.util.parser.neovim_parser')
058.319  000.117  000.117: require('luasnip.util.str')
058.328  001.631  000.092: require('luasnip.util.parser')
058.670  000.066  000.066: require('luasnip.extras.filetype_functions')
058.738  000.044  000.044: require('luasnip.nodes.absolute_indexer')
058.876  000.136  000.136: require('luasnip.extras')
059.001  000.123  000.123: require('luasnip.extras.fmt')
059.071  000.032  000.032: require('luasnip.extras.conditions')
059.091  000.019  000.019: require('luasnip.extras.conditions.show')
059.139  000.119  000.069: require('luasnip.extras.conditions.expand')
059.140  000.137  000.018: require('luasnip.extras.expand_conditions')
059.192  000.051  000.051: require('luasnip.extras.postfix')
059.398  001.068  000.510: require('luasnip.config')
059.400  006.512  000.376: require('luasnip')
059.782  056.609  008.939: sourcing /home/popcorn/.config/nvim/init.lua
059.788  000.587: sourcing vimrc file(s)
060.025  000.008  000.008: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
060.129  000.008  000.008: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
060.192  000.014  000.014: sourcing /usr/share/vim/vimfiles/ftdetect/meson.vim
060.326  000.418  000.388: sourcing /usr/share/nvim/runtime/filetype.lua
060.346  000.010  000.010: sourcing /usr/share/nvim/runtime/filetype.vim
060.502  000.052  000.052: sourcing /usr/share/nvim/runtime/syntax/synload.vim
060.581  000.206  000.154: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
061.185  000.087  000.087: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
061.202  000.006  000.006: sourcing /usr/share/nvim/runtime/plugin/health.vim
061.453  000.098  000.098: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
061.504  000.294  000.196: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
061.596  000.082  000.082: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
061.796  000.191  000.191: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
061.900  000.006  000.006: sourcing /home/popcorn/.local/share/nvim/rplugin.vim
061.906  000.092  000.087: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
061.949  000.034  000.034: sourcing /usr/share/nvim/runtime/plugin/shada.vim
061.977  000.013  000.013: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
062.046  000.058  000.058: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
062.111  000.049  000.049: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
062.133  000.009  000.009: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
062.226  000.082  000.082: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
063.692  000.116  000.116: require('which-key.util')
063.695  000.208  000.092: require('which-key.tree')
063.813  000.117  000.117: require('which-key.config')
063.818  000.604  000.280: require('which-key.keys')
063.821  001.307  000.702: require('which-key')
064.138  000.061  000.061: require('toggleterm.lazy')
064.198  000.057  000.057: require('toggleterm.constants')
064.469  000.269  000.269: require('toggleterm.terminal')
064.474  000.640  000.252: require('toggleterm')
064.689  000.106  000.106: require('toggleterm.colors')
064.789  000.099  000.099: require('toggleterm.utils')
064.794  000.319  000.114: require('toggleterm.config')
064.994  000.138  000.138: require('toggleterm.commandline')
065.144  000.133  000.133: require('packer.load')
066.098  000.064  000.064: require('nvim-treesitter.statusline')
066.214  000.114  000.114: require('nvim-treesitter.query_predicates')
066.217  000.816  000.637: require('nvim-treesitter')
066.577  001.200  000.383: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
067.465  000.686  000.686: require('nvim-treesitter-textobjects')
067.920  000.147  000.147: require('nvim-treesitter.textobjects.shared')
067.924  000.303  000.156: require('nvim-treesitter.textobjects.select')
068.141  000.100  000.100: require('nvim-treesitter.textobjects.attach')
068.146  000.211  000.110: require('nvim-treesitter.textobjects.move')
068.275  000.088  000.088: require('nvim-treesitter.textobjects.swap')
068.415  000.119  000.119: require('nvim-treesitter.textobjects.lsp_interop')
068.426  001.659  000.252: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/opt/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
068.497  006.218  000.823: sourcing /home/popcorn/.config/nvim/plugin/packer_compiled.lua
068.634  000.039  000.039: sourcing /usr/share/nvim/runtime/plugin/man.lua
068.646  000.970: loading rtp plugins
069.034  000.184  000.184: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
069.185  000.101  000.101: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
069.454  000.060  000.060: require('indent_blankline.commands')
069.512  000.208  000.148: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/indent-blankline.nvim/plugin/indent_blankline.vim
069.755  000.056  000.056: require('cmp.utils.highlight')
069.949  000.307  000.251: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
070.132  000.102  000.102: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
070.205  000.029  000.029: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/nvim-transparent/plugin/transparent.vim
070.302  000.020  000.020: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
070.468  000.066  000.066: require('nvim-treesitter-playground')
070.507  000.127  000.061: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/playground/plugin/nvim-treesitter-playground.lua
070.570  000.018  000.018: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
070.863  000.206  000.206: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
071.497  000.574  000.574: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/vim-fugitive/plugin/fugitive.vim
071.621  000.051  000.051: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/vim-rhubarb/plugin/rhubarb.vim
071.899  000.205  000.205: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/vim-sleuth/plugin/sleuth.vim
072.415  000.304  000.304: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/vimwiki/autoload/vimwiki/vars.vim
073.206  000.105  000.105: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/vimwiki/autoload/vimwiki/u.vim
075.089  000.034  000.034: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/vimwiki/autoload/vimwiki/markdown_base.vim
075.196  001.023  000.989: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/vimwiki/autoload/vimwiki/base.vim
075.351  000.081  000.081: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/vimwiki/autoload/vimwiki/path.vim
076.645  004.673  003.161: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/vimwiki/plugin/vimwiki.vim
076.734  000.007  000.007: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/which-key.nvim/plugin/which-key.vim
076.804  001.343: loading packages
076.928  000.020  000.020: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
077.090  000.101  000.101: require('cmp_luasnip')
077.118  000.147  000.046: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
077.688  000.160  000.160: require('nvim-treesitter.locals')
077.693  000.293  000.132: require('nvim-treesitter.incremental_selection')
077.845  000.066  000.066: require('nvim-treesitter.highlight')
078.029  000.134  000.134: require('nvim-treesitter.indent')
078.803  000.170  000.170: require('vim.treesitter.highlighter')
078.806  000.267  000.097: require('nvim-treesitter-playground.utils')
078.809  000.386  000.120: require('nvim-treesitter-playground.printer')
078.875  000.064  000.064: require('nvim-treesitter-playground.query')
078.974  000.098  000.098: require('nvim-treesitter-playground.promise')
078.990  000.927  000.379: require('nvim-treesitter-playground.internal')
079.090  000.089  000.089: require('transparent')
079.436  000.043  000.043: require('nvim-autopairs._log')
079.555  000.117  000.117: require('nvim-autopairs.utils')
079.903  000.160  000.160: require('nvim-autopairs.conds')
079.907  000.275  000.115: require('nvim-autopairs.rule')
079.909  000.352  000.077: require('nvim-autopairs.rules.basic')
079.914  000.817  000.305: require('nvim-autopairs')
080.195  000.103  000.103: require('nvim-autopairs.ts-conds')
080.197  000.156  000.053: require('nvim-autopairs.rules.ts_basic')
080.618  000.062  000.062: require('nvim-autopairs.completion.handlers')
080.622  000.137  000.075: require('nvim-autopairs.completion.cmp')
080.645  003.472  000.852: sourcing /home/popcorn/.config/nvim/after/plugin/init.lua
080.976  000.054  000.054: require('harpoon.utils')
081.059  000.081  000.081: require('harpoon.dev')
081.412  000.604  000.469: require('harpoon')
081.599  000.184  000.184: require('harpoon.mark')
081.603  000.926  000.138: require('harpoon.ui')
081.626  000.965  000.039: sourcing /home/popcorn/.config/nvim/after/plugin/keymap.lua
081.893  000.099  000.099: require('rust-tools')
082.200  000.111  000.111: require('rust-tools.utils.utils')
082.204  000.309  000.198: require('rust-tools.code_action_group')
082.269  000.064  000.064: require('rust-tools.commands')
082.474  000.062  000.062: require('rust-tools.executors.termopen')
082.543  000.067  000.067: require('rust-tools.executors.quickfix')
082.607  000.062  000.062: require('rust-tools.executors.toggleterm')
082.608  000.249  000.058: require('rust-tools.executors')
082.611  000.340  000.091: require('rust-tools.config')
082.685  000.073  000.073: require('rust-tools.crate_graph')
082.776  000.089  000.089: require('rust-tools.dap')
082.860  000.083  000.083: require('rust-tools.debuggables')
082.934  000.072  000.072: require('rust-tools.expand_macro')
083.023  000.087  000.087: require('rust-tools.external_docs')
083.131  000.106  000.106: require('rust-tools.hover_actions')
083.193  000.060  000.060: require('rust-tools.hover_range')
083.341  000.147  000.147: require('rust-tools.inlay_hints')
083.403  000.059  000.059: require('rust-tools.join_lines')
083.593  000.057  000.057: require('rust-tools.server_status')
083.596  000.191  000.134: require('rust-tools.lsp')
083.660  000.063  000.063: require('rust-tools.move_item')
083.719  000.058  000.058: require('rust-tools.open_cargo_toml')
083.779  000.059  000.059: require('rust-tools.parent_module')
083.855  000.075  000.075: require('rust-tools.runnables')
083.920  000.062  000.062: require('rust-tools.ssr')
083.993  000.072  000.072: require('rust-tools.standalone')
084.054  000.059  000.059: require('rust-tools.workspace_refresh')
084.255  000.082  000.082: require('lspconfig.server_configurations.rust_analyzer')
084.730  003.091  000.781: sourcing /home/popcorn/.config/nvim/after/plugin/rust-tools-config.lua
084.734  000.236: loading after plugins
084.742  000.008: inits 3
086.124  001.382: reading ShaDa
086.352  000.102  000.102: require('luasnip.loaders.util')
086.356  000.199  000.097: require('luasnip.loaders.from_lua')
086.546  000.049  000.049: require('luasnip.nodes.snippetProxy')
086.560  000.188  000.139: require('luasnip.loaders.from_snipmate')
086.717  000.144  000.144: require('luasnip.loaders.from_vscode')
087.079  000.425: opening buffers
087.184  000.105: BufEnter autocommands
087.187  000.002: editing files in windows
087.538  000.096  000.096: require('which-key.plugins')
087.636  000.095  000.095: require('which-key.plugins.marks')
087.777  000.138  000.138: require('which-key.mappings')
088.578  000.092  000.092: require('which-key.plugins.registers')
089.436  000.109  000.109: require('which-key.plugins.presets')
089.553  000.101  000.101: require('which-key.plugins.presets.misc')
089.627  000.068  000.068: require('which-key.colors')
097.502  009.616: VimEnter autocommands
097.505  000.003: UIEnter autocommands
097.506  000.001: before starting main loop
097.819  000.313: first screen update
097.820  000.001: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.016  000.016: --- NVIM STARTING ---
000.278  000.262: event init
000.526  000.248: early init
000.669  000.143: locale set
000.747  000.078: init first window
001.610  000.863: inits 1
001.639  000.029: window checked
001.648  000.009: parsing arguments
003.207  000.302  000.302: require('vim.shared')
003.592  000.141  000.141: require('vim._meta')
003.600  000.378  000.237: require('vim._editor')
003.605  000.779  000.099: require('vim._init_packages')
003.611  001.183: init lua interpreter
003.716  000.106: expanding arguments
003.842  000.126: inits 2
004.732  000.890: init highlight
004.736  000.005: waiting for UI
009.230  004.493: done waiting for UI
009.334  000.104: init screen for UI
009.689  000.355: init default mappings
009.736  000.047: init default autocommands
012.510  000.162  000.162: sourcing /usr/share/nvim/runtime/ftplugin.vim
013.008  000.097  000.097: sourcing /usr/share/nvim/runtime/indent.vim
013.186  000.031  000.031: sourcing /usr/share/nvim/archlinux.vim
013.199  000.093  000.062: sourcing /etc/xdg/nvim/sysinit.vim
020.407  000.765  000.765: require('packer.util')
020.538  006.200  005.435: require('packer')
021.733  001.180  001.180: require('packer.log')
023.520  000.591  000.591: require('packer.async')
024.756  000.428  000.428: require('packer.result')
024.770  001.239  000.812: require('packer.jobs')
024.790  002.989  001.159: require('packer.plugin_utils')
025.663  000.841  000.841: require('packer.snapshot')
026.774  000.269  000.269: require('custom.plugins')
028.214  000.364  000.364: require('onedark')
031.739  000.382  000.382: require('onedark.palette')
